SN,YEAR,QTR,MONTH,PROJECT_CODE,PROJECT_NAME,ACCOUNT_NAME,PRACTICE_AREA,BU,BU_ TYPE,REGION_COUNTRY,ENTITY_INDIA_US,TOTAL_RESOURCES,TOTAL_REVENUE,TOTAL_DIRECT_COST,NET_MARGIN,EBIDTA
1,2022-23,Q1,4/1/2022,SP100149,Software Products- Huda e-Auctions System,VOZX,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.25,5.17,4.87,0.30,0.25
2,2022-23,Q1,4/1/2022,SP100150,Software Products- HSIDC-e-Auctions System,GFBV,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.47,24.08,1.30,22.78,22.71
3,2022-23,Q1,4/1/2022,SP100154,Software Products- NSE-Solace Agent for ITRS,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.00,0.00,0.00
4,2022-23,Q1,4/1/2022,SS300034,Software Services -Tea Board E-Auction Solutions-Maintenance,ZWAD,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,6.40,4.43,6.17,-1.74,-2.03
5,2022-23,Q1,4/1/2022,SS300261,Software Service - NSE- Contract Note generation module,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,7.30,0.00,7.72,-7.72,-8.04
6,2022-23,Q1,4/1/2022,SS300290,Software Service -IRDA -IGMS -Portal Development,ATWW,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.00,0.00,0.00
7,2022-23,Q1,4/1/2022,SS300291,Software Service -IRDA -IGMS -AMC / Helpdesk Support,ATWW,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,2.15,1.25,1.57,-0.32,-0.42
8,2022-23,Q1,4/1/2022,SS300292,Software Service - NSE XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.25,2.75,2.51,0.24,0.19
9,2022-23,Q1,4/1/2022,SS300295,Software Service - NSE- Contract Generation AMC Support ,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,5.95,4.38,8.40,-4.02,-4.28
10,2022-23,Q1,4/1/2022,SS300299,Software Service - NSE-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.13,5.52,0.20,5.32,5.31
11,2022-23,Q1,4/1/2022,SS300309,Software Service-NSE-IFSC Website ,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.07,0.00,0.19,-0.19,-0.19
12,2022-23,Q1,4/1/2022,SS300310,Software Service - Development -NAFED,LTUH,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,7.55,0.00,7.96,-7.96,-8.30
13,2022-23,Q1,4/1/2022,SS300311,Software Service NESL-e-Auction Platform,UKBZ,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.30,0.00,0.91,-0.91,-0.97
14,2022-23,Q1,4/1/2022,SS300318,Software Service -NSE-STP Support HUB,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,2.20,2.75,1.49,1.26,1.17
15,2022-23,Q1,4/1/2022,SS300321,Software Service - PXIL-PRATYAY,DCUW,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,25.85,24.50,17.62,6.88,5.71
16,2022-23,Q1,4/1/2022,SS300322,Software Services -Magma HDI - Partner Portal,VVEE,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,51.30,0.00,61.13,-61.13,-63.44
17,2022-23,Q1,4/1/2022,SS300323,Software Service -Indian Bank-Software Implementation,NIML,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,20.30,0.00,66.19,-66.19,-67.10
18,2022-23,Q1,4/1/2022,SS300324,Software Service -South Indian Bank,VCYT,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.25,0.00,0.75,-0.75,-0.76
19,2022-23,Q1,4/1/2022,SS300325,Software Service -NSE-Bank Integration API,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.00,0.00,0.77,-0.77,-0.82
20,2022-23,Q1,4/1/2022,SS300326,Software Service -NSE-Trading Member Integration API,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.25,0.00,1.16,-1.16,-1.21
21,2022-23,Q1,4/1/2022,SS300327,Software Service -NSE-XBRL - BRSR,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,8.00,-8.00,-8.00
22,2022-23,Q1,4/1/2022,SS300330,Software Service -NSE-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,6.71,0.00,6.71,6.71
23,2022-23,Q1,4/1/2022,SS300331,Software Services -Bharat Platform,LOKN,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,19.12,0.00,42.36,-42.36,-43.22
